ResultId,Drivers points,Qualifying position,Result_Race-1,Total gained/lost positions,Index DNF/Driver,Average Lost laps
23712.0,2.0,17.0,16.0,29.0,0.8,0.5
23713.0,0.8125,13.0,14.0,9.0,1.2,0.5625
23714.0,0.0,18.0,10.0,0.0,2.0,0.0
23715.0,1.75,14.0,9.0,20.0,0.6,0.4375
23716.0,0.0,16.0,18.0,31.0,1.2,0.75
23717.0,0.9375,20.0,8.0,26.0,1.0,0.5625
23718.0,0.625,9.0,11.0,-19.0,1.4736842105263157,0.25
23719.0,12.0,4.0,3.0,27.0,1.2,0.0
23720.0,0.3125,19.0,15.0,31.0,0.6666666666666666,1.0625
23721.0,2.125,15.0,17.0,-39.0,1.2,0.375
23722.0,7.235294117647059,2.0,4.0,-65.0,1.75,0.0588235294117647
23723.0,14.352941176470589,4.0,5.0,-7.0,0.25,0.0
23724.0,9.588235294117649,5.0,3.0,-43.0,0.75,0.0
23725.0,15.588235294117649,1.0,2.0,-18.0,0.5,0.0
23726.0,4.294117647058823,6.0,6.0,27.0,0.25,0.4117647058823529
23727.0,1.8823529411764703,12.0,11.0,33.0,1.0,0.5294117647058824
23728.0,5.0588235294117645,10.0,8.0,13.0,0.25,0.4117647058823529
23729.0,0.8823529411764706,18.0,16.0,27.0,1.25,0.5882352941176471
23730.0,19.47058823529412,3.0,1.0,8.0,0.0,0.0
23731.0,0.5882352941176471,14.0,17.0,-28.0,1.8421052631578947,0.2352941176470588
23732.0,2.117647058823529,11.0,9.0,0.0,0.5263157894736842,0.5294117647058824
23733.0,0.7647058823529411,15.0,12.0,17.0,1.5,0.5882352941176471
23734.0,0.0,20.0,13.0,2.0,0.0,0.1176470588235294
23735.0,0.2941176470588235,17.0,19.0,26.0,0.8333333333333333,1.0
23736.0,1.6470588235294117,19.0,14.0,18.0,0.75,0.4705882352941176
23737.0,3.176470588235294,9.0,7.0,6.0,2.0,0.2941176470588235
23738.0,0.0,16.0,15.0,29.0,1.5,0.7647058823529411
23739.0,0.0,13.0,13.0,6.0,2.5,0.0588235294117647
23740.0,2.0,8.0,20.0,-41.0,1.5,0.3529411764705882
23741.0,11.294117647058824,7.0,18.0,13.0,1.5,0.0
23742.0,15.38888888888889,2.0,4.0,-21.0,0.4,0.0
23743.0,14.555555555555555,1.0,2.0,-5.0,0.2,0.0
